"default","bmaxrate","amount","close","bankcardutil","rating"
0,0.23,8500,1,1.13,"Missing"
0,0.18,5000,1,0,"D"
1,0.23,2000,0,0.9,"Missing"
0,0.18,1600,0,0.94,"D"
0,0.14,5000,0,0,"B"
0,0.2,1000,0,1,"Missing"
0,0.17,6500,0,0.79,"C"
0,0.11,1000,0,0.98,"D"
0,0.15,1600,0,0.82,"C"
0,0.15,8500,0,0,"B"
1,0.29,3000,0,1.51,"Missing"
0,0.09,7000,0,0.17,"AA"
0,0.1,2100,0,0,"AA"
0,0.26,2000,1,0,"Missing"
0,0.29,3000,0,0.79,"Missing"
0,0.2,2850,0,0.7,"C"
0,0.25,2550,0,0.53,"D"
0,0.17,5233,0,0.38,"B"
0,0.26,5500,0,0.99,"Missing"
1,0.2,2700,1,0.8,"D"
0,0.2,13500,0,0.31,"C"
0,0.15,1200,1,0,"Missing"
0,0.22,6500,1,0.97,"Missing"
0,0.29,1200,1,1,"Missing"
0,0.27,3001,1,1.02,"Missing"
0,0.29,5000,1,0,"Missing"
0,0.05,1000,1,0.48,"D"
0,0.07,3000,0,0.87,"C"
0,0.17,10000,0,0.39,"A"
0,0.17,9000,0,0.94,"C"
0,0.29,5500,0,0.72,"D"
0,0.28,2000,0,0.77,"Missing"
0,0.19,6000,0,0.49,"C"
0,0.16,25000,0,0,"A"
0,0.29,3000,0,1.15,"Missing"
0,0.15,1200,0,0.9,"D"
0,0.2,5000,0,0.16,"A"
0,0.09,3030,0,0.04,"AA"
0,0.16,6001,1,0.77,"C"
0,0.17,6500,1,0,"D"
0,0.28,3900,0,1.08,"Missing"
0,0.29,1750,1,0.98,"Missing"
0,0.16,9000,0,0.69,"C"
0,0.24,25000,1,0.46,"C"
0,0.24,11520,0,0.6,"D"
0,0.26,25000,1,0.38,"D"
0,0.14,4000,0,0.16,"B"
0,0.24,10000,0,0.54,"A"
0,0.09,2550,0,0.17,"A"
1,0.23,7800,1,1.03,"C"
0,0.15,2000,0,0.36,"D"
0,0.2,5000,0,0.45,"D"
0,0.29,3001,0,0.85,"Missing"
1,0.18,1230,0,0,"C"
0,0.09,2500,0,0.1,"AA"
0,0.24,1550,0,1.09,"Missing"
0,0.14,1000,0,0,"B"
0,0.2,2018,0,0,"Missing"
0,0.29,3500,0,0.98,"Missing"
0,0.2,15000,0,0.84,"C"
0,0.23,5000,0,1,"Missing"
0,0.15,5000,0,0.83,"C"
0,0.19,13500,0,0.78,"B"
0,0.14,25000,0,0,"AA"
0,0.18,4100,0,0.5,"C"
0,0.29,2550,0,1.7,"Missing"
0,0.16,5300,0,0.92,"C"
0,0.17,1000,1,0.14,"D"
0,0.28,1200,0,0.81,"Missing"
0,0.25,4800,0,0.85,"Missing"
0,0.14,9000,0,0.14,"B"
0,0.29,2550,0,1,"Missing"
